"","look","sum","output"
"614","express",128,"scripts"
"615","expressed",74,"interest"
"616","extra",59,"time"
"617","eyes",17613,"little"
"618","f",101,"kennedy"
"619","facebook",262,"page"
"620","faces",76,"years"
"621","fair",84,"share"
"622","faith",17609,"bad"
"623","fall",159,"asleep"
"624","falling",70,"apart"
"625","familiar",83,"matter"
"626","family",417,"members"
"627","fan",93,"base"
"628","fannie",79,"mae"
"629","fans",102,"will"
"630","fantasy",68,"football"
"631","far",209,"away"
"632","farmers",234,"market"
"633","fashion",101,"show"
"634","fast",98,"food"
"635","fat",171,"g"
"636","fatally",88,"shot"
"637","father",192,"s"
"638","favorite",86,"song"
"639","fbi",63,"agents"
"640","fed",68,"s"
"641","federal",661,"government"
"642","feel",1846,"like"
"643","feeling",133,"like"
"644","feels",383,"like"
"645","feet",142,"inches"
"646","fell",343,"percent"
"647","felt",385,"like"
"648","festival",77,"s"
"649","fewer",70,"people"
"650","fiber",101,"mg"
"651","field",190,"goal"
"652","fifth",108,"inning"
"653","filed",111,"bankruptcy"
"654","filled",17618,"imagination"
"655","film",17613,"seen"
"656","final",343,"four"
"657","finally",185,"got"
"658","financial",212,"officer"
"659","find",293,"way"
"660","fine",75,"arts"
"661","fingers",350,"just"
"662","finish",111,"line"
"663","finished",134,"points"
"664","fire",235,"department"
"665","firm",101,"s"
"666","first",2145,"time"
"667","firstdegree",83,"murder"
"668","firstround",133,"pick"
"669","fiscal",284,"year"
"670","fish",110,"wildlife"
"671","fisher",125,"said"
"672","fitzgerald",87,"said"
"673","five",878,"years"
"674","florida",117,"state"
"675","foie",66,"gras"
"676","follow",17838,"please"
"677","followed",74,"back"
"678","following",155,"us"
"679","foo",63,"fighters"
"680","food",110,"drug"
"681","foot",139,"pound"
"682","football",189,"team"
"683","force",72,"base"
"684","ford",152,"s"
"685","foreign",135,"policy"
"686","forest",89,"park"
"687","former",170,"massachusetts"
"688","fort",78,"zumwalt"
"689","forward",223,"seeing"
"690","foster",76,"care"
