"","look","sum","output"
"103327","average rate year",41,"fixed"
"103328","averaged points per",57,"game"
"103329","averaged yards per",38,"carry"
"103330","averaging points per",40,"game"
"103331","averaging points rebounds",55,"assists"
"103332","awakening griffin theatre",46,"company"
"103333","away breathe want",50,"air"
"103334","away cutest thing",51,"ever"
"103335","away deal unsymetrical",57,"things"
"103336","away early observations",53,"bills"
"103337","away every inch",49,"perfect"
"103338","away give anything",56,"see"
"103339","away go romantic",46,"date"
"103340","away grateful good",49,"times"
"103341","away guy front",43,"just"
"103342","away guy table",47,"s"
"103343","away hey sunshine",45,"can"
"103344","away holland like",53,"inch"
"103345","away ice bucket",50,"challenge"
"103346","away just like",52,"questions"
"103347","away like people",52,"almost"
"103348","away ohh pointbreak",52,"tomorrow"
"103349","away reason smile",48,"everyday"
"103350","away talking mom",55,"effect"
"103351","away thankful childhood",60,"filled"
"103352","away time take",17622,"picture"
"103353","away well pretty",46,"sure"
"103354","baby light world",34,"like"
"103355","bachelor s degree",39,"business"
"103356","back breathe want",63,"air"
"103357","back cutest thing",60,"ever"
"103358","back deal unsymetrical",69,"things"
"103359","back early observations",57,"bills"
"103360","back every inch",64,"perfect"
"103361","back give anything",53,"see"
"103362","back go romantic",54,"date"
"103363","back grateful good",65,"times"
"103364","back guy front",53,"just"
"103365","back guy table",50,"s"
"103366","back hey sunshine",51,"can"
"103367","back holland like",53,"inch"
"103368","back ice bucket",64,"challenge"
"103369","back just like",62,"questions"
"103370","back like people",66,"almost"
"103371","back ohh pointbreak",67,"tomorrow"
"103372","back reason smile",57,"everyday"
"103373","back talking mom",57,"effect"
"103374","back thankful childhood",78,"filled"
"103375","back well pretty",57,"sure"
"103376","bacon bouquet case",17623,"beer"
"103377","bad happy mother",34,"s"
"103378","bagpipes garage dust",17624,"way"
"103379","bags groceries hand",406,"thanks"
"103380","bank cleveland s",36,"flats"
"103381","bar reservations credit",56,"cards"
"103382","barack obama s",47,"administration"
"103383","baseball commissioner bud",45,"selig"
"103384","bathroom asked dessert",17630,"started"
"103385","bbif money fund",41,"class"
"103386","bbif treas fund",36,"class"
"103387","beach happy mother",33,"s"
"103388","beat la beat",28,"la"
"103389","become unrestricted free",51,"agent"
"103390","beer wine reservations",44,"credit"
"103391","began three years",35,"ago"
"103392","behind grateful good",38,"times"
"103393","believe marriage man",39,"woman"
"103394","belle isle grand",46,"prix"
"103395","benchmark oil june",40,"delivery"
"103396","benefits breathe want",39,"air"
"103397","benefits cutest thing",38,"ever"
"103398","benefits give anything",39,"see"
"103399","benefits ohh pointbreak",47,"tomorrow"
"103400","benefits well pretty",39,"sure"
"103401","bergen county prosecutor",45,"s"
"103402","best cutest thing",36,"ever"
"103403","best give anything",36,"see"
"103404","best just like",36,"questions"
"103405","best talking mom",35,"effect"
"103406","best things training",39,"table"
"103407","better breathe want",45,"air"
"103408","better cutest thing",51,"ever"
"103409","better deal unsymetrical",47,"things"
"103410","better early observations",48,"bills"
"103411","better every inch",39,"perfect"
"103412","better give anything",40,"see"
"103413","better go romantic",43,"date"
"103414","better grateful good",50,"times"
"103415","better guy front",36,"just"
"103416","better guy table",39,"s"
"103417","better hey sunshine",40,"can"
"103418","better holland like",39,"inch"
"103419","better ice bucket",52,"challenge"
"103420","better just like",44,"questions"
"103421","better like people",40,"almost"
"103422","better ohh pointbreak",54,"tomorrow"
"103423","better reason smile",46,"everyday"
"103424","better talking mom",45,"effect"
"103425","better thankful childhood",49,"filled"
"103426","better well pretty",42,"sure"
"103427","bill cutest thing",39,"ever"
"103428","bill deal unsymetrical",45,"things"
"103429","bill early observations",44,"bills"
"103430","bill every inch",35,"perfect"
"103431","bill give anything",35,"see"
"103432","bill go romantic",40,"date"
"103433","bill grateful good",46,"times"
"103434","bill guy front",35,"just"
"103435","bill hey sunshine",39,"can"
"103436","bill holland like",42,"inch"
"103437","bill ice bucket",47,"challenge"
"103438","bill just like",40,"questions"
"103439","bill like people",37,"almost"
"103440","bill ohh pointbreak",50,"tomorrow"
"103441","bill reason smile",45,"everyday"
"103442","bill talking mom",36,"effect"
"103443","bill thankful childhood",43,"filled"
"103444","bill well pretty",43,"sure"
"103445","billion breathe want",38,"air"
"103446","billion cents per",37,"share"
"103447","billion cutest thing",45,"ever"
"103448","billion deal unsymetrical",48,"things"
"103449","billion early observations",51,"bills"
"103450","billion every inch",41,"perfect"
"103451","billion go romantic",40,"date"
"103452","billion grateful good",48,"times"
"103453","billion guy front",36,"just"
"103454","billion guy table",31,"s"
"103455","billion hey sunshine",38,"can"
"103456","billion holland like",40,"inch"
"103457","billion ice bucket",49,"challenge"
"103458","billion just like",42,"questions"
"103459","billion like people",42,"almost"
"103460","billion ohh pointbreak",55,"tomorrow"
"103461","billion reason smile",45,"everyday"
"103462","billion talking mom",38,"effect"
"103463","billion thankful childhood",48,"filled"
"103464","billion well pretty",40,"sure"
"103465","bills game offense",17624,"still"
"103466","bin laden s",49,"death"
"103467","blazers coach nate",41,"mcmillan"
"103468","block el camino",38,"real"
"103469","blues coach ken",47,"hitchcock"
"103470","board cutest thing",35,"ever"
"103471","board deal unsymetrical",43,"things"
"103472","board early observations",44,"bills"
"103473","board every inch",39,"perfect"
"103474","board give anything",37,"see"
"103475","board go romantic",38,"date"
"103476","board grateful good",38,"times"
"103477","board guy front",35,"just"
"103478","board guy table",29,"s"
"103479","board hey sunshine",37,"can"
"103480","board holland like",37,"inch"
"103481","board ice bucket",43,"challenge"
"103482","board like people",39,"almost"
"103483","board ohh pointbreak",47,"tomorrow"
"103484","board president toni",46,"preckwinkle"
"103485","board talking mom",39,"effect"
"103486","board thankful childhood",46,"filled"
"103487","board well pretty",40,"sure"
"103488","booked orange county",37,"jail"
"103489","boston add boston",36,"add"
"103490","bottom top feel",37,"like"
"103491","bottom top follow",40,"back"
"103492","bottom top getting",37,"ready"
"103493","bottom top good",53,"morning"
"103494","bottom top happy",59,"birthday"
"103495","bottom top just",48,"got"
"103496","bottom top looking",53,"forward"
"103497","bottom top looks",36,"like"
"103498","bottom top please",41,"follow"
"103499","bottom top sounds",38,"like"
"103500","bottom top thank",36,"much"
"103501","bottom top thanks",65,"follow"
"103502","bought pound bacon",17626,"bouquet"
"103503","bought squarefoot home",41,"pool"
"103504","bouquet case beer",420,"thanks"
"103505","branch library highway",38,"k"
"103506","branch library mcclay",39,"road"
"103507","breakfast lunch dinner",41,"daily"
"103508","breathe want air",17621,"live"
"103509","bring boil reduce",36,"heat"
"103510","broadway redwood city",51,"ticketsfoxrwccom"
"103511","browns coach pat",43,"shurmur"
"103512","bruises playing outside",405,"thanks"
"103513","bucket challenge louis",17627,"will"
"103514","budget breathe want",37,"air"
"103515","budget cutest thing",41,"ever"
"103516","budget deal unsymetrical",49,"things"
"103517","budget early observations",43,"bills"
"103518","budget every inch",45,"perfect"
"103519","budget go romantic",36,"date"
"103520","budget grateful good",42,"times"
"103521","budget guy front",35,"just"
"103522","budget guy table",30,"s"
"103523","budget holland like",36,"inch"
"103524","budget ice bucket",41,"challenge"
"103525","budget just like",41,"questions"
"103526","budget like people",41,"almost"
"103527","budget next fiscal",37,"year"
"103528","budget ohh pointbreak",43,"tomorrow"
"103529","budget thankful childhood",49,"filled"
"103530","budget well pretty",39,"sure"
"103531","building cutest thing",44,"ever"
"103532","building deal unsymetrical",46,"things"
"103533","building grateful good",45,"times"
"103534","building guy front",40,"just"
"103535","building guy table",33,"s"
"103536","building hey sunshine",38,"can"
"103537","building ice bucket",45,"challenge"
"103538","building like people",42,"almost"
"103539","building ohh pointbreak",44,"tomorrow"
"103540","building reason smile",45,"everyday"
"103541","building talking mom",39,"effect"
"103542","building thankful childhood",49,"filled"
"103543","built sits lot",39,"measuring"
"103544","bullet hole closet",37,"behind"
"103545","bureau ocean energy",45,"management"
"103546","business breathe want",45,"air"
"103547","business cutest thing",46,"ever"
"103548","business deal unsymetrical",52,"things"
"103549","business early observations",54,"bills"
"103550","business every inch",48,"perfect"
"103551","business give anything",48,"see"
"103552","business go romantic",42,"date"
"103553","business grateful good",45,"times"
"103554","business guy front",46,"just"
"103555","business guy table",39,"s"
"103556","business hey sunshine",44,"can"
"103557","business holland like",48,"inch"
"103558","business ice bucket",50,"challenge"
"103559","business just like",45,"questions"
"103560","business like people",49,"almost"
"103561","business network international",47,"st"
"103562","business ohh pointbreak",53,"tomorrow"
"103563","business reason smile",52,"everyday"
"103564","business talking mom",53,"effect"
"103565","business thankful childhood",51,"filled"
"103566","business well pretty",42,"sure"
"103567","buy one get",32,"one"
"103568","cake cake cake",93,"cake"
"103569","california guy front",37,"just"
"103570","california guy table",34,"s"
"103571","california like people",44,"almost"
"103572","california public employees",52,"retirement"
"103573","california public utilities",56,"commission"
"103574","california thankful childhood",49,"filled"
"103575","call breathe want",45,"air"
"103576","call cutest thing",50,"ever"
"103577","call deal unsymetrical",51,"things"
"103578","call early observations",53,"bills"
"103579","call every inch",48,"perfect"
"103580","call give anything",46,"see"
"103581","call go romantic",45,"date"
"103582","call grateful good",51,"times"
"103583","call guy front",53,"just"
"103584","call guy table",39,"s"
"103585","call hey sunshine",49,"can"
"103586","call holland like",44,"inch"
"103587","call ice bucket",52,"challenge"
"103588","call just like",49,"questions"
"103589","call like people",51,"almost"
"103590","call ohh pointbreak",52,"tomorrow"
"103591","call reason smile",58,"everyday"
"103592","call talking mom",44,"effect"
"103593","call thankful childhood",61,"filled"
"103594","call well pretty",43,"sure"
"103595","calories calories fat",63,"percent"
"103596","calories fat percent",60,"total"
"103597","calories g fat",78,"g"
"103598","calories g protein",104,"g"
"103599","camden county prosecutors",46,"office"
"103600","campaign deal unsymetrical",48,"things"
"103601","campaign early observations",49,"bills"
"103602","campaign every inch",41,"perfect"
"103603","campaign go romantic",37,"date"
"103604","campaign hey sunshine",38,"can"
"103605","campaign holland like",41,"inch"
"103606","campaign just like",43,"questions"
"103607","campaign reason smile",43,"everyday"
"103608","campaign thankful childhood",47,"filled"
"103609","campaign well pretty",37,"sure"
"103610","can breathe want",33,"air"
"103611","can cutest thing",39,"ever"
"103612","can deal unsymetrical",41,"things"
"103613","can early observations",43,"bills"
"103614","can every inch",36,"perfect"
"103615","can follow make",17624,"happiest"
"103616","can follow please",17622,"mean"
"103617","can get follow",41,"back"
"103618","can give anything",35,"see"
"103619","can go either",30,"way"
"103620","can go long",29,"way"
"103621","can go romantic",33,"date"
"103622","can grateful good",42,"times"
"103623","can guy front",36,"just"
"103624","can guy table",30,"s"
"103625","can hey sunshine",38,"can"
"103626","can holland like",36,"inch"
"103627","can ice bucket",41,"challenge"
"103628","can interview wednesday",47,"wallingford"
"103629","can just like",37,"questions"
"103630","can like people",38,"almost"
"103631","can made day",32,"ahead"
"103632","can never go",30,"wrong"
"103633","can ohh pointbreak",45,"tomorrow"
"103634","can reason smile",43,"everyday"
"103635","can talking mom",37,"effect"
"103636","can thankful childhood",42,"filled"
"103637","can u please",33,"follow"
"103638","can well pretty",36,"sure"
"103639","cancer holland like",37,"inch"
"103640","capital health regional",49,"medical"
"103641","caps caps caps",42,"caps"
"103642","captain shane doan",36,"said"
"103643","car breathe want",34,"air"
"103644","car cutest thing",33,"ever"
"103645","car early observations",43,"bills"
"103646","car guy front",34,"just"
"103647","car hey sunshine",34,"can"
"103648","car like people",36,"almost"
"103649","car reason smile",40,"everyday"
"103650","carbohydrate g fat",105,"g"
"103651","carbohydrate g protein",62,"g"
"103652","carbohydrate g sugar",42,"g"
"103653","carbohydrates g fiber",41,"mg"
"103654","cardinal glennon children",46,"s"
"103655","cards dc ds",27,"m"
"103656","care breathe want",44,"air"
"103657","care cutest thing",41,"ever"
"103658","care deal unsymetrical",43,"things"
"103659","care early observations",42,"bills"
"103660","care every inch",38,"perfect"
"103661","care give anything",40,"see"
"103662","care go romantic",35,"date"
"103663","care grateful good",40,"times"
"103664","care guy front",36,"just"
"103665","care guy table",38,"s"
"103666","care hey sunshine",36,"can"
"103667","care holland like",39,"inch"
"103668","care ice bucket",42,"challenge"
"103669","care just like",39,"questions"
"103670","care like people",36,"almost"
"103671","care ohh pointbreak",41,"tomorrow"
"103672","care reason smile",43,"everyday"
"103673","care talking mom",41,"effect"
"103674","care thankful childhood",47,"filled"
"103675","care well pretty",34,"sure"
"103676","career deal unsymetrical",43,"things"
"103677","career early observations",44,"bills"
"103678","career every inch",37,"perfect"
"103679","career go romantic",35,"date"
"103680","career hey sunshine",36,"can"
"103681","career holland like",36,"inch"
"103682","career just like",40,"questions"
"103683","career like people",37,"almost"
"103684","career talking mom",37,"effect"
"103685","career thankful childhood",44,"filled"
"103686","career well pretty",36,"sure"
"103687","carrie ann len",34,"bruno"
"103688","carter run dylan",41,"carter"
"103689","casa de mi",32,"padre"
"103690","case beer ain",28,"t"
"103691","case beer feel",39,"like"
"103692","case beer follow",42,"back"
"103693","case beer getting",36,"ready"
"103694","case beer good",82,"morning"
"103695","case beer happy",61,"birthday"
"103696","case beer just",40,"got"
"103697","case beer looking",53,"forward"
"103698","case beer looks",34,"like"
"103699","case beer rt",27,"rt"
"103700","case beer thank",37,"much"
"103701","case beer thanks",59,"follow"
"103702","case breathe want",51,"air"
"103703","case cutest thing",47,"ever"
"103704","case deal unsymetrical",57,"things"
"103705","case early observations",54,"bills"
"103706","case every inch",46,"perfect"
"103707","case give anything",51,"see"
"103708","case go romantic",47,"date"
"103709","case grateful good",52,"times"
"103710","case guy front",43,"just"
"103711","case guy table",43,"s"
"103712","case hey sunshine",46,"can"
"103713","case holland like",49,"inch"
"103714","case ice bucket",52,"challenge"
"103715","case just like",51,"questions"
"103716","case like people",47,"almost"
"103717","case ohh pointbreak",54,"tomorrow"
"103718","case reason smile",52,"everyday"
"103719","case talking mom",51,"effect"
"103720","case thankful childhood",59,"filled"
"103721","case us supreme",34,"court"
"103722","case well pretty",48,"sure"
"103723","case western reserve",114,"university"
"103724","cash squarefoot home",53,"pool"
"103725","catcher yadier molina",40,"left"
"103726","cavaliers coach byron",40,"scott"
"103727","cecilia zalkind executive",47,"director"
"103728","celebrate cinco de",39,"mayo"
"103729","center breathe want",52,"air"
"103730","center cutest thing",49,"ever"
"103731","center deal unsymetrical",60,"things"
"103732","center early observations",69,"bills"
"103733","center every inch",60,"perfect"
"103734","center give anything",56,"see"
"103735","center go romantic",61,"date"
"103736","center grateful good",52,"times"
"103737","center greg oden",34,"left"
"103738","center guy front",58,"just"
"103739","center guy table",50,"s"
"103740","center hey sunshine",55,"can"
"103741","center holland like",60,"inch"
"103742","center ice bucket",60,"challenge"
"103743","center just like",56,"questions"
"103744","center like people",64,"almost"
"103745","center ohh pointbreak",64,"tomorrow"
"103746","center reason smile",64,"everyday"
"103747","center science public",44,"interest"
"103748","center talking mom",61,"effect"
"103749","center thankful childhood",64,"filled"
"103750","center well pretty",55,"sure"
"103751","centers disease control",107,"prevention"
"103752","centers medicare medicaid",58,"services"
"103753","centre st peters",36,"centre"
"103754","cents per assessed",40,"valuation"
"103755","cents per share",41,"quarter"
"103756","chairman president chief",47,"executive"
"103757","challenge louis will",17624,"ush"
"103758","chance holland like",38,"inch"
"103759","chance just like",39,"questions"
"103760","change breathe want",39,"air"
"103761","change cutest thing",41,"ever"
"103762","change deal unsymetrical",44,"things"
"103763","change every inch",38,"perfect"
"103764","change give anything",37,"see"
"103765","change grateful good",43,"times"
"103766","change guy front",40,"just"
"103767","change guy table",33,"s"
"103768","change hey sunshine",35,"can"
"103769","change holland like",37,"inch"
"103770","change ice bucket",42,"challenge"
"103771","change just like",39,"questions"
"103772","change like people",39,"almost"
"103773","change reason smile",46,"everyday"
"103774","change talking mom",39,"effect"
"103775","change thankful childhood",47,"filled"
"103776","changes breathe want",36,"air"
"103777","changes go romantic",36,"date"
"103778","changes grateful good",39,"times"
"103779","changes ice bucket",41,"challenge"
"103780","changes ohh pointbreak",43,"tomorrow"
"103781","changes well pretty",36,"sure"
"103782","charge deal unsymetrical",43,"things"
"103783","charge every inch",38,"perfect"
"103784","charge holland like",36,"inch"
"103785","charge just like",38,"questions"
"103786","charged receiving stolen",51,"property"
"103787","charges ohh pointbreak",43,"tomorrow"
"103788","chevrolet detroit belle",48,"isle"
"103789","chicago grateful good",39,"times"
"103790","chief us district",40,"judge"
"103791","child sex abuse",38,"charges"
"103792","childhood filled imagination",17636,"bruises"
"103793","children breathe want",45,"air"
"103794","children cutest thing",42,"ever"
"103795","children deal unsymetrical",52,"things"
"103796","children early observations",52,"bills"
"103797","children every inch",49,"perfect"
"103798","children give anything",49,"see"
"103799","children go romantic",44,"date"
"103800","children grateful good",40,"times"
"103801","children guy front",43,"just"
"103802","children guy table",42,"s"
"103803","children hey sunshine",43,"can"
"103804","children holland like",53,"inch"
"103805","children ice bucket",43,"challenge"
"103806","children just like",47,"questions"
"103807","children like people",46,"almost"
"103808","children ohh pointbreak",47,"tomorrow"
"103809","children reason smile",51,"everyday"
"103810","children s medical",44,"center"
"103811","children talking mom",55,"effect"
"103812","children thankful childhood",52,"filled"
"103813","children well pretty",43,"sure"
"103814","cholesterol g carbohydrate",66,"g"
"103815","cholesterol g protein",69,"g"
"103816","cholesterol mg sodium",97,"g"
"103817","christie spokesman michael",79,"drewniak"
"103818","chronicle s food",35,"wine"
"103819","chsaa class aa",42,"intersectional"
"103820","church like people",37,"almost"
"103821","circuit attorney jennifer",44,"joyce"
"103822","citizenship young illegal",60,"immigrants"
"103823","city attorney s",41,"office"
"103824","city breathe want",50,"air"
"103825","city clerk s",38,"office"
"103826","city commissioner dan",44,"saltzman"
"103827","city cutest thing",52,"ever"
"103828","city deal unsymetrical",73,"things"
"103829","city early observations",66,"bills"
"103830","city every inch",66,"perfect"
"103831","city give anything",69,"see"
"103832","city go romantic",56,"date"
"103833","city grateful good",51,"times"
"103834","city guard james",37,"harden"
"103835","city guy front",63,"just"
"103836","city guy table",54,"s"
"103837","city hey sunshine",59,"can"
"103838","city holland like",69,"inch"
"103839","city ice bucket",53,"challenge"
"103840","city just like",69,"questions"
"103841","city like people",66,"almost"
"103842","city ohh pointbreak",57,"tomorrow"
"103843","city reason smile",66,"everyday"
"103844","city s general",37,"fund"
"103845","city s police",39,"department"
"103846","city talking mom",66,"effect"
"103847","city thankful childhood",68,"filled"
"103848","city well pretty",54,"sure"
"103849","clackamas county sheriff",50,"s"
"103850","class cutest thing",36,"ever"
"103851","class deal unsymetrical",42,"things"
"103852","class every inch",39,"perfect"
"103853","class grateful good",38,"times"
"103854","class guy front",38,"just"
"103855","class hey sunshine",38,"can"
"103856","class ice bucket",39,"challenge"
"103857","class like people",45,"almost"
"103858","class r bbif",38,"money"
"103859","class reason smile",44,"everyday"
"103860","class thankful childhood",50,"filled"
"103861","classic pates fountain",68,"parks"
"103862","cleveland breathe want",45,"air"
"103863","cleveland cutest thing",48,"ever"
"103864","cleveland deal unsymetrical",54,"things"
"103865","cleveland early observations",46,"bills"
"103866","cleveland every inch",53,"perfect"
"103867","cleveland give anything",42,"see"
"103868","cleveland grateful good",50,"times"
"103869","cleveland guy front",43,"just"
"103870","cleveland guy table",38,"s"
"103871","cleveland hey sunshine",39,"can"
"103872","cleveland holland like",42,"inch"
"103873","cleveland hopkins international",68,"airport"
"103874","cleveland ice bucket",48,"challenge"
"103875","cleveland international film",52,"festival"
"103876","cleveland just like",50,"questions"
"103877","cleveland like people",51,"almost"
"103878","cleveland mayor frank",51,"jackson"
"103879","cleveland ohh pointbreak",51,"tomorrow"
"103880","cleveland ohio cuyahoga",48,"county"
"103881","cleveland reason smile",46,"everyday"
"103882","cleveland talking mom",43,"effect"
"103883","cleveland thankful childhood",59,"filled"
"103884","cleveland well pretty",43,"sure"
"103885","close guy front",34,"just"
"103886","close hey sunshine",35,"can"
"103887","close like people",37,"almost"
"103888","close reason smile",41,"everyday"
"103889","club fox broadway",38,"redwood"
"103890","club guy front",34,"just"
"103891","club hey sunshine",34,"can"
"103892","club like people",36,"almost"
"103893","club reason smile",42,"everyday"
"103894","coach byron scott",44,"said"
"103895","coach chip kelly",35,"said"
"103896","coach frank vogel",37,"said"
"103897","coach mike johnston",38,"said"
"103898","coach nate mcmillan",37,"said"
"103899","coach vin lananna",36,"said"
"103900","college give anything",37,"see"
"103901","college guy front",41,"just"
"103902","college guy table",32,"s"
"103903","college hey sunshine",37,"can"
"103904","college like people",43,"almost"
"103905","college reason smile",44,"everyday"
"103906","collison family funeral",41,"home"
"103907","come deal unsymetrical",41,"things"
"103908","come every inch",37,"perfect"
"103909","come holland like",36,"inch"
"103910","come just like",38,"questions"
"103911","come long way",34,"since"
"103912","come ohh pointbreak",40,"tomorrow"
"103913","comment breathe want",41,"air"
"103914","comment cutest thing",42,"ever"
"103915","comment deal unsymetrical",48,"things"
"103916","comment early observations",54,"bills"
"103917","comment give anything",57,"see"
"103918","comment go romantic",46,"date"
"103919","comment grateful good",39,"times"
"103920","comment guy front",38,"just"
"103921","comment guy table",48,"s"
"103922","comment hey sunshine",43,"can"
"103923","comment holland like",55,"inch"
"103924","comment ice bucket",43,"challenge"
"103925","comment just like",54,"questions"
"103926","comment ohh pointbreak",49,"tomorrow"
"103927","comment reason smile",46,"everyday"
"103928","comment talking mom",59,"effect"
"103929","comment thankful childhood",46,"filled"
"103930","comment well pretty",43,"sure"
"103931","commercial real estate",42,"broker"
"103932","commissioner dan saltzman",43,"said"
"103933","committee breathe want",39,"air"
"103934","committee early observations",50,"bills"
"103935","committee give anything",39,"see"
"103936","committee go romantic",38,"date"
"103937","committee grateful good",41,"times"
"103938","committee guy front",36,"just"
"103939","committee guy table",39,"s"
"103940","committee holland like",39,"inch"
"103941","committee ice bucket",43,"challenge"
"103942","committee oversight government",50,"reform"
"103943","committee talking mom",41,"effect"
"103944","common pleas judge",38,"bridget"
"103945","community breathe want",38,"air"
"103946","community deal unsymetrical",48,"things"
"103947","community early observations",49,"bills"
"103948","community every inch",42,"perfect"
"103949","community give anything",44,"see"
"103950","community go romantic",44,"date"
"103951","community grateful good",45,"times"
"103952","community guy front",43,"just"
"103953","community guy table",37,"s"
"103954","community hey sunshine",43,"can"
"103955","community holland like",41,"inch"
"103956","community ice bucket",48,"challenge"
"103957","community just like",43,"questions"
"103958","community like people",46,"almost"
"103959","community ohh pointbreak",52,"tomorrow"
"103960","community reason smile",51,"everyday"
"103961","community talking mom",44,"effect"
"103962","community thankful childhood",53,"filled"
"103963","community well pretty",47,"sure"
"103964","compact fluorescent light",46,"bulbs"
"103965","company breathe want",37,"air"
"103966","company cutest thing",41,"ever"
"103967","company deal unsymetrical",47,"things"
"103968","company early observations",47,"bills"
"103969","company every inch",42,"perfect"
"103970","company give anything",39,"see"
"103971","company go romantic",40,"date"
"103972","company grateful good",42,"times"
"103973","company guy front",42,"just"
"103974","company guy table",31,"s"
"103975","company hey sunshine",43,"can"
"103976","company holland like",39,"inch"
"103977","company ice bucket",42,"challenge"
"103978","company just like",42,"questions"
"103979","company like people",47,"almost"
"103980","company ohh pointbreak",49,"tomorrow"
"103981","company reason smile",50,"everyday"
"103982","company s annual",38,"meeting"
"103983","company s bankruptcy",41,"estate"
"103984","company s chief",39,"executive"
"103985","company talking mom",39,"effect"
"103986","company thankful childhood",51,"filled"
"103987","company well pretty",41,"sure"
"103988","compared period last",39,"year"
"103989","composite index rose",43,"percent"
"103990","conference deal unsymetrical",51,"things"
"103991","conference every inch",41,"perfect"
"103992","conference holland like",43,"inch"
"103993","conference just like",46,"questions"
"103994","conference thankful childhood",48,"filled"
"103995","connecting service change",50,"plane"
"103996","conservative national action",48,"party"
"103997","consolidated volume came",45,"billion"
"103998","consumer financial protection",50,"bureau"
"103999","contributed report deal",53,"unsymetrical"
"104000","contributed report early",55,"observations"
"104001","contributed report every",45,"inch"
"104002","contributed report go",43,"romantic"
"104003","contributed report guy",46,"front"
"104004","contributed report hey",50,"sunshine"
"104005","contributed report holland",49,"like"
"104006","contributed report just",46,"like"
"104007","contributed report reason",50,"smile"
"104008","contributed report talking",44,"mom"
"104009","cook county medical",41,"examiner"
"104010","cook county sheriff",34,"s"
"104011","cook county state",41,"s"
"104012","cost breathe want",34,"air"
"104013","cost cutest thing",35,"ever"
"104014","cost early observations",41,"bills"
"104015","cost give anything",37,"see"
"104016","cost go romantic",33,"date"
"104017","cost guy table",30,"s"
"104018","cost hey sunshine",33,"can"
"104019","cost holland like",34,"inch"
"104020","cost ohh pointbreak",42,"tomorrow"
"104021","cost talking mom",36,"effect"
"104022","cost well pretty",34,"sure"
"104023","costs cutest thing",35,"ever"
"104024","costs deal unsymetrical",46,"things"
"104025","costs early observations",45,"bills"
"104026","costs every inch",44,"perfect"
"104027","costs give anything",35,"see"
"104028","costs go romantic",38,"date"
"104029","costs grateful good",41,"times"
"104030","costs guy front",37,"just"
"104031","costs hey sunshine",38,"can"
"104032","costs holland like",38,"inch"
"104033","costs ice bucket",44,"challenge"
"104034","costs just like",42,"questions"
"104035","costs like people",44,"almost"
"104036","costs ohh pointbreak",46,"tomorrow"
"104037","costs reason smile",44,"everyday"
"104038","costs talking mom",38,"effect"
"104039","costs thankful childhood",50,"filled"
"104040","costs well pretty",41,"sure"
"104041","council chairman steve",43,"stenger"
"104042","council president kevin",42,"meara"
"104043","country breathe want",47,"air"
"104044","country cutest thing",48,"ever"
"104045","country deal unsymetrical",59,"things"
"104046","country early observations",53,"bills"
"104047","country every inch",53,"perfect"
"104048","country give anything",46,"see"
"104049","country go romantic",44,"date"
"104050","country grateful good",49,"times"
"104051","country guy front",46,"just"
"104052","country guy table",44,"s"
"104053","country hey sunshine",46,"can"
"104054","country holland like",51,"inch"
"104055","country ice bucket",47,"challenge"
"104056","country just like",53,"questions"
"104057","country like people",48,"almost"
"104058","country ohh pointbreak",50,"tomorrow"
"104059","country reason smile",51,"everyday"
"104060","country talking mom",45,"effect"
"104061","country thankful childhood",60,"filled"
"104062","country well pretty",45,"sure"
"104063","county auditor frank",44,"russo"
"104064","county board president",41,"toni"
"104065","county breathe want",45,"air"
"104066","county circuit court",44,"judge"
"104067","county commissioner jimmy",68,"dimora"
"104068","county common pleas",68,"court"
"104069","county coroner s",37,"office"
"104070","county cutest thing",48,"ever"
"104071","county deal unsymetrical",55,"things"
"104072","county district attorney",44,"s"
"104073","county early observations",50,"bills"
"104074","county engineer s",46,"office"
"104075","county every inch",49,"perfect"
"104076","county executive charlie",59,"dooley"
"104077","county executive ed",65,"fitzgerald"
"104078","county executive member",44,"council"
"104079","county executive robert",48,"ficano"
"104080","county give anything",43,"see"
"104081","county go romantic",46,"date"
"104082","county grand jury",39,"indicted"
"104083","county grateful good",50,"times"
"104084","county guy front",38,"just"
"104085","county guy table",41,"s"
"104086","county hey sunshine",42,"can"
"104087","county holland like",45,"inch"
"104088","county ice bucket",50,"challenge"
"104089","county jail lieu",45,"bail"
"104090","county jail north",41,"brunswick"
"104091","county just like",50,"questions"
"104092","county juvenile detention",46,"center"
"104093","county like people",40,"almost"
"104094","county medical examiner",51,"s"
"104095","county ohh pointbreak",51,"tomorrow"
"104096","county police chief",38,"tim"
"104097","county prosecuting attorney",42,"s"
"104098","county prosecutor bill",42,"mason"
"104099","county prosecutor bruce",53,"kaplan"
"104100","county prosecutor edward",52,"defazio"
"104101","county prosecutor geoffrey",48,"soriano"
"104102","county prosecutor robert",44,"bianchi"
"104103","county prosecutor s",111,"office"
"104104","county prosecutors office",43,"said"
"104105","county reason smile",45,"everyday"
"104106","county republican party",50,"chairman"
"104107","county s department",42,"children"
"104108","county sheriff joe",49,"arpaio"
"104109","county sheriff paul",48,"babeu"
"104110","county sheriff s",130,"office"
"104111","county state s",54,"attorney"
"104112","county superior court",62,"judge"
"104113","county supervisor mary",40,"rose"
"104114","county talking mom",45,"effect"
"104115","county thankful childhood",52,"filled"
"104116","county well pretty",44,"sure"
"104117","coupal president howard",43,"jarvis"
